"LHdens_a","LHdens_b","DenExp4","LogLikelihood","aic"
0.1,1,0.5,-19169.8725769365,38353.745153873
0.1,1,0.7,-19183.9609868048,38381.9219736095
0.1,1,0.9,-19198.1122951363,38410.2245902725
0.1,1.4,0.1,-19180.5942873558,38375.1885747116
0.1,1.4,0.3,-19183.063177443,38380.126354886
0.1,1.4,0.5,-19202.3703235596,38418.7406471192
0.1,1.4,0.7,-19223.4540388075,38460.908077615
0.1,1.4,0.9,-19242.5522662472,38499.1045324944
0.1,1.2,0.1,-19171.6706019593,38357.3412039186
0.1,1.2,0.3,-19168.4839882686,38350.9679765371
0.1,1.2,0.5,-19183.057678135,38380.11535627
0.1,1.2,0.7,-19199.9335098549,38413.8670197097
0.1,1.2,0.9,-19216.5975458413,38447.1950916826
0.2,0.6,0.1,-19166.1523455462,38346.3046910925
0.2,0.6,0.3,-19154.8839942137,38323.7679884274
0.2,0.6,0.5,-19163.2830230778,38340.5660461555
0.2,0.6,0.7,-19174.778858547,38363.5577170939
0.2,0.6,0.9,-19186.7344183078,38387.4688366155
0.2,0.8,0.1,-19166.7836751796,38347.5673503592
0.2,0.8,0.3,-19156.580957914,38327.161915828
0.2,0.8,0.5,-19165.8475012943,38345.6950025886
0.2,0.8,0.7,-19178.0214763945,38370.042952789
0.2,0.8,0.9,-19190.5111501924,38395.0223003849
0.2,1,0.1,-19170.064584285,38354.1291685701
0.2,1,0.3,-19162.1268774964,38338.2537549928
0.2,1,0.5,-19172.9711827561,38359.9423655121
0.2,1,0.7,-19186.4117199054,38386.8234398109
0.2,1,0.9,-19199.9583125224,38413.9166250448
0.2,1.4,0.1,-19185.493650157,38384.9873003141
0.2,1.4,0.3,-19187.2062875037,38388.4125750074
0.2,1.4,0.5,-19205.6249719267,38425.2499438534
0.2,1.4,0.7,-19225.7728925537,38465.5457851074
0.2,1.4,0.9,-19243.8913932173,38501.7827864346
0.2,1.2,0.1,-19176.4927339596,38366.9854679192
0.2,1.2,0.3,-19172.5085947557,38359.0171895114
0.2,1.2,0.5,-19186.3261504652,38386.6523009305
0.2,1.2,0.7,-19202.5040436915,38419.008087383
0.2,1.2,0.9,-19218.4913108406,38450.9826216811
0.3,0.6,0.1,-19174.8981191563,38363.7962383126
0.3,0.6,0.3,-19162.1573916028,38338.3147832056
0.3,0.6,0.5,-19168.9267686007,38351.8535372015
0.3,0.6,0.7,-19179.0589961127,38372.1179922254
0.3,0.6,0.9,-19189.8622288502,38393.7244577004
0.3,0.8,0.1,-19175.3994787642,38364.7989575284
0.3,0.8,0.3,-19163.8828683788,38341.7657367576
0.3,0.8,0.5,-19171.5880778888,38357.1761557776
0.3,0.8,0.7,-19182.4260129218,38378.8520258435
0.3,0.8,0.9,-19193.7698076139,38401.5396152278
0.3,1,0.1,-19178.4349553317,38370.8699106634
0.3,1,0.3,-19169.3859513268,38352.7719026536
0.3,1,0.5,-19178.7977303644,38371.5954607289
0.3,1,0.7,-19190.9959375576,38395.9918751151
0.3,1,0.9,-19203.478010925,38420.9560218499
0.3,1.4,0.1,-19192.9749316075,38399.949863215
0.3,1.4,0.3,-19193.7775268152,38401.5550536303
0.3,1.4,0.5,-19210.7672563186,38435.5345126372
0.3,1.4,0.7,-19229.5143159554,38473.0286319108
