"Cdens_a","Cdens_b","DenExp1","LogLikelihood","aic"
0.7,1.4,0.1,-18949.603357086,37913.206714172
0.7,1.4,0.3,-18936.8272626423,37887.6545252846
0.7,1.4,0.5,-18972.5357733314,37959.0715466629
0.7,1.4,0.7,-19029.655300224,38073.3106004479
0.7,1.4,0.9,-19091.8715846452,38197.7431692905
0.7,1.6,0.1,-18966.4422337687,37946.8844675373
0.7,1.6,0.3,-18973.5837819363,37961.1675638726
0.7,1.6,0.5,-19030.6459751413,38075.2919502826
0.7,1.6,0.7,-19102.9369750725,38219.8739501449
0.7,1.6,0.9,-19168.0704664951,38350.1409329903
0.9,1.2,0.1,-18941.0995094801,37896.1990189602
0.9,1.2,0.3,-18915.0763968977,37844.1527937954
0.9,1.2,0.5,-18934.173099621,37882.346199242
0.9,1.2,0.7,-18975.6848004585,37965.3696009169
0.9,1.2,0.9,-19027.4477863969,38068.8955727937
0.9,1,0.1,-18954.6062222881,37923.2124445762
0.9,1,0.3,-18920.9716790269,37855.9433580539
0.9,1,0.5,-18925.3194620514,37864.6389241027
0.9,1,0.7,-18947.1048128704,37908.2096257408
0.9,1,0.9,-18979.7796538117,37973.5593076234
0.9,0.8,0.1,-18972.9506983425,37959.901396685
0.9,0.8,0.3,-18937.7773233483,37889.5546466967
0.9,0.8,0.5,-18935.8244974594,37885.6489949189
0.9,0.8,0.7,-18947.585717653,37909.171435306
0.9,0.8,0.9,-18967.3004286072,37948.6008572144
0.9,1.4,0.1,-18936.6783555494,37887.3567110987
0.9,1.4,0.3,-18926.311911767,37866.6238235341
0.9,1.4,0.5,-18968.3259369195,37950.651873839
0.9,1.4,0.7,-19032.3406139612,38078.6812279223
0.9,1.4,0.9,-19096.0257522506,38206.0515045011
0.9,1.6,0.1,-18943.1683462102,37900.3366924203
0.9,1.6,0.3,-18954.5505766723,37923.1011533447
0.9,1.6,0.5,-19020.8941638689,38055.7883277377
0.9,1.6,0.7,-19099.8643008843,38213.7286017686
0.9,1.6,0.9,-19164.092769137,38342.185538274
1.1,1.2,0.1,-18955.3969880228,37924.7939760455
1.1,1.2,0.3,-18932.0377424452,37878.0754848904
1.1,1.2,0.5,-18952.7987989096,37919.5975978193
1.1,1.2,0.7,-18995.556007411,38005.112014822
1.1,1.2,0.9,-19047.2149658596,38108.4299317192
1.1,1,0.1,-18970.1889687724,37954.3779375448
1.1,1,0.3,-18940.0220037585,37894.044007517
1.1,1,0.5,-18946.6094575071,37907.2189150141
1.1,1,0.7,-18970.855492397,37955.710984794
1.1,1,0.9,-19005.5772502418,38025.1545004836
1.1,0.8,0.1,-18987.4851572634,37988.9703145267
1.1,0.8,0.3,-18955.8620636886,37925.7241273772
1.1,0.8,0.5,-18956.068064223,37926.1361284461
1.1,0.8,0.7,-18970.525159128,37955.0503182561
1.1,0.8,0.9,-18993.0715583678,38000.1431167355
1.1,1.4,0.1,-18946.3432398342,37906.6864796685
1.1,1.4,0.3,-18937.3848611561,37888.7697223123
1.1,1.4,0.5,-18980.4820737631,37974.9641475261
1.1,1.4,0.7,-19044.6516866193,38103.3033732385
1.1,1.4,0.9,-19106.0702704724,38226.1405409448
1.1,1.6,0.1,-18945.1874234661,37904.3748469322
1.1,1.6,0.3,-18957.362606238,37928.725212476
1.1,1.6,0.5,-19025.5348639629,38065.0697279257
1.1,1.6,0.7,-19104.3508959655,38222.701791931
1.1,1.6,0.9,-19165.3551152874,38344.7102305748
1.3,1.2,0.1,-18973.8497618475,37961.6995236951
1.3,1.2,0.3,-18953.8241247033,37921.6482494067
1.3,1.2,0.5,-18976.0403998891,37966.0807997783
1.3,1.2,0.7,-19019.3392775617,38052.6785551233
1.3,1.2,0.9,-19070.3046160849,38154.6092321698
1.3,1,0.1,-18988.3188433242,37990.6376866484
1.3,1,0.3,-18962.3000499581,37938.6000999163
1.3,1,0.5,-18971.3663478734,37956.7326957468
1.3,1,0.7,-18997.7962118562,38009.5924237124
1.3,1,0.9,-19033.7485462892,38081.4970925784
1.3,0.8,0.1,-19004.0450673683,38022.0901347367
1.3,0.8,0.3,-18976.6575104745,37967.3150209491
